"Distribution of disabled workers by sex, economic status and residence - 2011",,,,,,,,,,,
Table Name,State Code,State Name,Type of disability,Total/ Rural/ Urban,Sex,Workers,,,,,Non-workers
DISAB04,00,INDIA,In Seeing,Total,Females," 	545,885 "," 	119,843 "," 	224,441 "," 	33,470 "," 	168,131 "," 	1,848,518 "
DISAB04,00,INDIA,In Seeing,Rural,Persons," 	1,352,621 "," 	441,617 "," 	562,990 "," 	51,706 "," 	296,308 "," 	2,150,937 "
DISAB04,00,INDIA,In Seeing,Rural,Males," 	921,956 "," 	327,346 "," 	347,118 "," 	27,883 "," 	219,609 "," 	899,492 "
DISAB04,00,INDIA,In Seeing,Rural,Females," 	430,665 "," 	114,271 "," 	215,872 "," 	23,823 "," 	76,699 "," 	1,251,445 "
DISAB04,00,INDIA,In Seeing,Urban,Persons," 	539,298 "," 	19,121 "," 	28,524 "," 	27,778 "," 	463,875 "," 	990,575 "
DISAB04,00,INDIA,In Seeing,Urban,Males," 	424,078 "," 	13,549 "," 	19,955 "," 	18,131 "," 	372,443 "," 	393,502 "
DISAB04,00,INDIA,In Seeing,Urban,Females," 	115,220 "," 	5,572 "," 	8,569 "," 	9,647 "," 	91,432 "," 	597,073 "
DISAB04,00,INDIA,In Hearing,Total,Persons," 	2,062,058 "," 	483,854 "," 	622,084 "," 	101,383 "," 	854,737 "," 	3,010,856 "
DISAB04,00,INDIA,In Hearing,Total,Males," 	1,444,083 "," 	356,953 "," 	379,409 "," 	55,806 "," 	651,915 "," 	1,234,501 "
DISAB04,00,INDIA,In Hearing,Total,Females," 	617,975 "," 	126,901 "," 	242,675 "," 	45,577 "," 	202,822 "," 	1,776,355 "
DISAB04,00,INDIA,In Hearing,Rural,Persons," 	1,443,251 "," 	464,719 "," 	587,026 "," 	65,602 "," 	325,904 "," 	1,950,477 "
DISAB04,00,INDIA,In Hearing,Rural,Males," 	966,542 "," 	342,704 "," 	355,231 "," 	33,414 "," 	235,193 "," 	817,884 "
DISAB04,00,INDIA,In Hearing,Rural,Females," 	476,709 "," 	122,015 "," 	231,795 "," 	32,188 "," 	90,711 "," 	1,132,593 "
DISAB04,00,INDIA,In Hearing,Urban,Persons," 	618,807 "," 	19,135 "," 	35,058 "," 	35,781 "," 	528,833 "," 	1,060,379 "
DISAB04,00,INDIA,In Hearing,Urban,Males," 	477,541 "," 	14,249 "," 	24,178 "," 	22,392 "," 	416,722 "," 	416,617 "
DISAB04,00,INDIA,In Hearing,Urban,Females," 	141,266 "," 	4,886 "," 	10,880 "," 	13,389 "," 	112,111 "," 	643,762 "
DISAB04,00,INDIA,In Speech,Total,Persons," 	839,258 "," 	195,452 "," 	244,314 "," 	34,451 "," 	365,041 "," 	1,159,434 "
DISAB04,00,INDIA,In Speech,Total,Males," 	600,179 "," 	141,702 "," 	151,793 "," 	20,248 "," 	286,436 "," 	522,808 "
DISAB04,00,INDIA,In Speech,Total,Females," 	239,079 "," 	53,750 "," 	92,521 "," 	14,203 "," 	78,605 "," 	636,626 "
DISAB04,00,INDIA,In Speech,Rural,Persons," 	566,849 "," 	188,380 "," 	230,652 "," 	21,243 "," 	126,574 "," 	737,091 "
DISAB04,00,INDIA,In Speech,Rural,Males," 	386,552 "," 	136,238 "," 	142,384 "," 	11,663 "," 	96,267 "," 	348,446 "
DISAB04,00,INDIA,In Speech,Rural,Females," 	180,297 "," 	52,142 "," 	88,268 "," 	9,580 "," 	30,307 "," 	388,645 "
DISAB04,00,INDIA,In Speech,Urban,Persons," 	272,409 "," 	7,072 "," 	13,662 "," 	13,208 "," 	238,467 "," 	422,343 "
DISAB04,00,INDIA,In Speech,Urban,Males," 	213,627 "," 	5,464 "," 	9,409 "," 	8,585 "," 	190,169 "," 	174,362 "
DISAB04,00,INDIA,In Speech,Urban,Females," 	58,782 "," 	1,608 "," 	4,253 "," 	4,623 "," 	48,298 "," 	247,981 "
DISAB04,00,INDIA,In Movement,Total,Persons," 	2,034,876 "," 	471,950 "," 	586,524 "," 	86,016 "," 	890,386 "," 	3,401,950 "
DISAB04,00,INDIA,In Movement,Total,Males," 	1,601,135 "," 	384,897 "," 	420,974 "," 	59,381 "," 	735,883 "," 	1,769,366 "
DISAB04,00,INDIA,In Movement,Total,Females," 	433,741 "," 	87,053 "," 	165,550 "," 	26,635 "," 	154,503 "," 	1,632,584 "
DISAB04,00,INDIA,In Movement,Rural,Persons," 	1,535,250 "," 	457,813 "," 	558,608 "," 	59,566 "," 	459,263 "," 	2,500,491 "
DISAB04,00,INDIA,In Movement,Rural,Males," 	1,184,342 "," 	372,653 "," 	399,206 "," 	40,559 "," 	371,924 "," 	1,319,187 "
DISAB04,00,INDIA,In Movement,Rural,Females," 	350,908 "," 	85,160 "," 	159,402 "," 	19,007 "," 	87,339 "," 	1,181,304 "
DISAB04,00,INDIA,In Movement,Urban,Persons," 	499,626 "," 	14,137 "," 	27,916 "," 	26,450 "," 	431,123 "," 	901,459 "
DISAB04,00,INDIA,In Movement,Urban,Males," 	416,793 "," 	12,244 "," 	21,768 "," 	18,822 "," 	363,959 "," 	450,179 "
DISAB04,00,INDIA,In Movement,Urban,Females," 	82,833 "," 	1,893 "," 	6,148 "," 	7,628 "," 	67,164 "," 	451,280 "
DISAB04,00,INDIA,Mental Retardation,Total,Persons," 	322,285 "," 	78,661 "," 	116,555 "," 	12,913 "," 	114,156 "," 	1,183,679 "
DISAB04,00,INDIA,Mental Retardation,Total,Males," 	232,298 "," 	58,700 "," 	76,741 "," 	7,482 "," 	89,375 "," 	638,600 "
DISAB04,00,INDIA,Mental Retardation,Total,Females," 	89,987 "," 	19,961 "," 	39,814 "," 	5,431 "," 	24,781 "," 	545,079 "
DISAB04,00,INDIA,Mental Retardation,Rural,Persons," 	245,121 "," 	75,917 "," 	111,387 "," 	8,614 "," 	49,203 "," 	780,779 "
DISAB04,00,INDIA,Mental Retardation,Rural,Males," 	171,341 "," 	56,657 "," 	72,913 "," 	4,709 "," 	37,062 "," 	420,257 "
DISAB04,00,INDIA,Mental Retardation,Rural,Females," 	73,780 "," 	19,260 "," 	38,474 "," 	3,905 "," 	12,141 "," 	360,522 "
DISAB04,00,INDIA,Mental Retardation,Urban,Persons," 	77,164 "," 	2,744 "," 	5,168 "," 	4,299 "," 	64,953 "," 	402,900 "
DISAB04,00,INDIA,Mental Retardation,Urban,Males," 	60,957 "," 	2,043 "," 	3,828 "," 	2,773 "," 	52,313 "," 	218,343 "
DISAB04,00,INDIA,Mental Retardation,Urban,Females," 	16,207 ", 	701 ," 	1,340 "," 	1,526 "," 	12,640 "," 	184,557 "
DISAB04,00,INDIA,Mental Illness,Total,Persons," 	154,534 "," 	39,830 "," 	55,523 "," 	6,340 "," 	52,841 "," 	568,346 "
DISAB04,00,INDIA,Mental Illness,Total,Males," 	111,873 "," 	30,001 "," 	36,825 "," 	3,527 "," 	41,520 "," 	303,885 "
DISAB04,00,INDIA,Mental Illness,Total,Females," 	42,661 "," 	9,829 "," 	18,698 "," 	2,813 "," 	11,321 "," 	264,461 "
DISAB04,00,INDIA,Mental Illness,Rural,Persons," 	121,732 "," 	38,498 "," 	52,853 "," 	4,434 "," 	25,947 "," 	374,148 "
DISAB04,00,INDIA,Mental Illness,Rural,Males," 	85,522 "," 	28,990 "," 	34,786 "," 	2,296 "," 	19,450 "," 	197,936 "
DISAB04,00,INDIA,Mental Illness,Rural,Females," 	36,210 "," 	9,508 "," 	18,067 "," 	2,138 "," 	6,497 "," 	176,212 "
DISAB04,00,INDIA,Mental Illness,Urban,Persons," 	32,802 "," 	1,332 "," 	2,670 "," 	1,906 "," 	26,894 "," 	194,198 "
DISAB04,00,INDIA,Mental Illness,Urban,Males," 	26,351 "," 	1,011 "," 	2,039 "," 	1,231 "," 	22,070 "," 	105,949 "
DISAB04,00,INDIA,Mental Illness,Urban,Females," 	6,451 ", 	321 , 	631 , 	675 ," 	4,824 "," 	88,249 "
DISAB04,00,INDIA,Any Other,Total,Persons," 	2,046,986 "," 	440,804 "," 	629,535 "," 	96,065 "," 	880,582 "," 	2,880,603 "
DISAB04,00,INDIA,Any Other,Total,Males," 	1,456,713 "," 	326,382 "," 	396,836 "," 	54,887 "," 	678,608 "," 	1,271,412 "
DISAB04,00,INDIA,Any Other,Total,Females," 	590,273 "," 	114,422 "," 	232,699 "," 	41,178 "," 	201,974 "," 	1,609,191 "
DISAB04,00,INDIA,Any Other,Rural,Persons," 	1,433,820 "," 	422,632 "," 	592,987 "," 	61,127 "," 	357,074 "," 	1,859,287 "
DISAB04,00,INDIA,Any Other,Rural,Males," 	983,945 "," 	312,808 "," 	371,592 "," 	32,739 "," 	266,806 "," 	843,936 "
DISAB04,00,INDIA,Any Other,Rural,Females," 	449,875 "," 	109,824 "," 	221,395 "," 	28,388 "," 	90,268 "," 	1,015,351 "
DISAB04,00,INDIA,Any Other,Urban,Persons," 	613,166 "," 	18,172 "," 	36,548 "," 	34,938 "," 	523,508 "," 	1,021,316 "
DISAB04,00,INDIA,Any Other,Urban,Males," 	472,768 "," 	13,574 "," 	25,244 "," 	22,148 "," 	411,802 "," 	427,476 "
DISAB04,00,INDIA,Any Other,Urban,Females," 	140,398 "," 	4,598 "," 	11,304 "," 	12,790 "," 	111,706 "," 	593,840 "
DISAB04,00,INDIA,Multiple disability,Total,Persons," 	392,470 "," 	103,033 "," 	131,223 "," 	18,401 "," 	139,813 "," 	1,724,228 "
DISAB04,00,INDIA,Multiple disability,Total,Males," 	280,510 "," 	76,548 "," 	84,679 "," 	10,799 "," 	108,484 "," 	882,202 "
DISAB04,00,INDIA,Multiple disability,Total,Females," 	111,960 "," 	26,485 "," 	46,544 "," 	7,602 "," 	31,329 "," 	842,026 "
DISAB04,00,INDIA,Multiple disability,Rural,Persons," 	305,476 "," 	99,740 "," 	124,928 "," 	12,697 "," 	68,111 "," 	1,279,028 "
DISAB04,00,INDIA,Multiple disability,Rural,Males," 	211,812 "," 	74,001 "," 	80,175 "," 	7,051 "," 	50,585 "," 	651,409 "
DISAB04,00,INDIA,Multiple disability,Rural,Females," 	93,664 "," 	25,739 "," 	44,753 "," 	5,646 "," 	17,526 "," 	627,619 "
DISAB04,00,INDIA,Multiple disability,Urban,Persons," 	86,994 "," 	3,293 "," 	6,295 "," 	5,704 "," 	71,702 "," 	445,200 "
DISAB04,00,INDIA,Multiple disability,Urban,Males,68698,2547,4504,3748,57899,230793
DISAB04,00,INDIA,Multiple disability,Urban,Females,18296,746,1791,1956,13803,214407
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Total,Persons,121532,37696,19171,5597,59068,239621
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Total,Males,93948,26065,15370,3242,49271,110886
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Total,Females,27584,11631,3801,2355,9797,128735
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Rural,Persons,91369,35244,17460,4437,34228,182583
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Rural,Males,69322,24633,13989,2543,28157,85570
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Rural,Females,22047,10611,3471,1894,6071,97013
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Urban,Persons,30163,2452,1711,1160,24840,57038
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Urban,Males,24626,1432,1381,699,21114,25316
DISAB04,01,State - JAMMU & KASHMIR (01),Total disabled population,Urban,Females,5537,1020,330,461,3726,31722
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Total,Persons,22281,7732,3728,962,9859,44167
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Total,Males,16860,5355,2943,568,7994,18796
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Total,Females,5421,2377,785,394,1865,25371
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Rural,Persons,16856,7095,3381,744,5636,33286
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Rural,Males,12607,4988,2657,437,4525,14412
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Rural,Females,4249,2107,724,307,1111,18874
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Urban,Persons,5425,637,347,218,4223,10881
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Urban,Males,4253,367,286,131,3469,4384
DISAB04,01,State - JAMMU & KASHMIR (01),In Seeing,Urban,Females,1172,270,61,87,754,6497
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Total,Persons,29855,7648,3926,1101,17180,44241
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Total,Males,23815,5238,3089,626,14862,18929
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Total,Females,6040,2410,837,475,2318,25312
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Rural,Persons,19947,7228,3533,839,8347,31942
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Rural,Males,15261,4964,2763,471,7063,13940
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Rural,Females,4686,2264,770,368,1284,18002
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Urban,Persons,9908,420,393,262,8833,12299
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Urban,Males,8554,274,326,155,7799,4989
DISAB04,01,State - JAMMU & KASHMIR (01),In Hearing,Urban,Females,1354,146,67,107,1034,7310
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Total,Persons,6548,2323,1224,262,2739,12133
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Total,Males,5253,1712,1026,177,2338,6098
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Total,Females,1295,611,198,85,401,6035
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Rural,Persons,5278,2210,1141,212,1715,9594
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Rural,Males,4188,1635,957,143,1453,4908
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Rural,Females,1090,575,184,69,262,4686
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Urban,Persons,1270,113,83,50,1024,2539
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Urban,Males,1065,77,69,34,885,1190
DISAB04,01,State - JAMMU & KASHMIR (01),In Speech,Urban,Females,205,36,14,16,139,1349
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Total,Persons,19323,6441,3212,920,8750,38814
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Total,Males,15600,4834,2707,638,7421,19545
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Total,Females,3723,1607,505,282,1329,19269
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Rural,Persons,16183,6179,2994,759,6251,31589
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Rural,Males,12989,4666,2528,530,5265,15989
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Rural,Females,3194,1513,466,229,986,15600
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Urban,Persons,3140,262,218,161,2499,7225
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Urban,Males,2611,168,179,108,2156,3556
DISAB04,01,State - JAMMU & KASHMIR (01),In Movement,Urban,Females,529,94,39,53,343,3669
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Total,Persons,3980,1382,723,170,1705,12744
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Total,Males,3005,943,582,104,1376,6793
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Total,Females,975,439,141,66,329,5951
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Rural,Persons,3031,1312,667,121,931,9183
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Rural,Males,2240,899,533,71,737,4881
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Rural,Females,791,413,134,50,194,4302
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Urban,Persons,949,70,56,49,774,3561
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Urban,Males,765,44,49,33,639,1912
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Retardation,Urban,Females,184,26,7,16,135,1649
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Total,Persons,4708,1676,982,257,1793,10961
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Total,Males,3378,1048,751,143,1436,5432
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Total,Females,1330,628,231,114,357,5529
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Rural,Persons,3626,1432,851,209,1134,7955
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Rural,Males,2592,938,653,117,884,3855
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Rural,Females,1034,494,198,92,250,4100
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Urban,Persons,1082,244,131,48,659,3006
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Urban,Males,786,110,98,26,552,1577
DISAB04,01,State - JAMMU & KASHMIR (01),Mental Illness,Urban,Females,296,134,33,22,107,1429
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Total,Persons,25856,7104,3645,1483,13624,41101
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Total,Males,19285,4554,2854,708,11169,17567
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Total,Females,6571,2550,791,775,2455,23534
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Rural,Persons,19017,6627,3307,1204,7879,30382
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Rural,Males,13919,4306,2590,548,6475,13150
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Rural,Females,5098,2321,717,656,1404,17232
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Urban,Persons,6839,477,338,279,5745,10719
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Urban,Males,5366,248,264,160,4694,4417
DISAB04,01,State - JAMMU & KASHMIR (01),Any Other,Urban,Females,1473,229,74,119,1051,6302
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Total,Persons,8981,3390,1731,442,3418,35460
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Total,Males,6752,2381,1418,278,2675,17726
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Total,Females,2229,1009,313,164,743,17734
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Rural,Persons,7431,3161,1586,349,2335,28652
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Rural,Males,5526,2237,1308,226,1755,14435
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Rural,Females,1905,924,278,123,580,14217
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Urban,Persons,1550,229,145,93,1083,6808
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Urban,Males,1226,144,110,52,920,3291
DISAB04,01,State - JAMMU & KASHMIR (01),Multiple disability,Urban,Females,324,85,35,41,163,3517
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Total,Persons,68917,41460,3955,1281,22221,86399
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Total,Males,43731,22573,2548,887,17723,42590
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Total,Females,25186,18887,1407,394,4498,43809
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Rural,Persons,64506,41252,3872,1130,18252,78159
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Rural,Males,40197,22437,2484,769,14507,38766
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Rural,Females,24309,18815,1388,361,3745,39393
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Urban,Persons,4411,208,83,151,3969,8240
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Urban,Males,3534,136,64,118,3216,3824
DISAB04,02,State - HIMACHAL PRADESH (02),Total disabled population,Urban,Females,877,72,19,33,753,4416
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Total,Persons,12060,7906,581,239,3334,14016
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Total,Males,7296,4179,369,165,2583,6086
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Total,Females,4764,3727,212,74,751,7930
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Rural,Persons,11336,7873,566,210,2687,12804
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Rural,Males,6741,4158,359,141,2083,5550
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Rural,Females,4595,3715,207,69,604,7254
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Urban,Persons,724,33,15,29,647,1212
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Urban,Males,555,21,10,24,500,536
DISAB04,02,State - HIMACHAL PRADESH (02),In Seeing,Urban,Females,169,12,5,5,147,676
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Total,Persons,13649,8388,792,269,4200,13051
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Total,Males,8575,4565,473,172,3365,5668
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Total,Females,5074,3823,319,97,835,7383
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Rural,Persons,12523,8355,780,232,3156,11416
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Rural,Males,7630,4547,464,145,2474,5023
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Rural,Females,4893,3808,316,87,682,6393
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Urban,Persons,1126,33,12,37,1044,1635
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Urban,Males,945,18,9,27,891,645
DISAB04,02,State - HIMACHAL PRADESH (02),In Hearing,Urban,Females,181,15,3,10,153,990
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Total,Persons,3976,2464,251,64,1197,4302
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Total,Males,2581,1363,168,43,1007,2298
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Total,Females,1395,1101,83,21,190,2004
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Rural,Persons,3747,2457,245,55,990,3801
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Rural,Males,2388,1359,164,36,829,2075
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Rural,Females,1359,1098,81,19,161,1726
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Urban,Persons,229,7,6,9,207,501
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Urban,Males,193,4,4,7,178,223
DISAB04,02,State - HIMACHAL PRADESH (02),In Speech,Urban,Females,36,3,2,2,29,278
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Total,Persons,14535,7825,678,291,5741,18015
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Total,Males,10056,4681,488,232,4655,9391
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Total,Females,4479,3144,190,59,1086,8624
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Rural,Persons,13709,7783,661,266,4999,16718
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Rural,Males,9375,4647,472,211,4045,8765
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Rural,Females,4334,3136,189,55,954,7953
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Urban,Persons,826,42,17,25,742,1297
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Urban,Males,681,34,16,21,610,626
DISAB04,02,State - HIMACHAL PRADESH (02),In Movement,Urban,Females,145,8,1,4,132,671
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Total,Persons,2833,1941,216,46,630,6153
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Total,Males,1809,1079,173,28,529,3501
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Total,Females,1024,862,43,18,101,2652
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Rural,Persons,2671,1925,211,37,498,5456
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Rural,Males,1681,1070,168,23,420,3128
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Rural,Females,990,855,43,14,78,2328
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Urban,Persons,162,16,5,9,132,697
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Urban,Males,128,9,5,5,109,373
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Retardation,Urban,Females,34,7,0,4,23,324
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Total,Persons,1594,1088,100,21,385,3572
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Total,Males,1009,606,68,14,321,2021
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Total,Females,585,482,32,7,64,1551
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Rural,Persons,1537,1083,98,19,337,3227
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Rural,Males,961,602,67,12,280,1808
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Rural,Females,576,481,31,7,57,1419
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Urban,Persons,57,5,2,2,48,345
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Urban,Males,48,4,1,2,41,213
DISAB04,02,State - HIMACHAL PRADESH (02),Mental Illness,Urban,Females,9,1,1,0,7,132
